year,month,national_arrivals,excluded,period
2017,6,123351,False,clean_train
2017,7,205482,False,clean_train
2017,8,190928,False,clean_train
2017,9,145077,False,clean_train
2017,10,152429,False,clean_train
2017,11,167511,False,clean_train
2017,12,244536,False,clean_train
2018,1,238924,False,clean_train
2018,2,235618,False,clean_train
2018,3,233382,False,clean_train
2018,4,180429,False,clean_train
2018,5,129466,False,clean_train
2018,6,146828,False,clean_train
2018,7,217829,False,clean_train
2018,8,200359,False,clean_train
2018,9,149087,False,clean_train
2018,10,153123,False,clean_train
2018,11,195582,False,clean_train
2018,12,253169,False,clean_train
2019,1,244239,True,excluded
2019,2,252033,True,excluded
2019,3,244328,True,excluded
2019,4,166975,True,excluded
2019,5,37802,True,excluded
2019,6,63072,True,excluded
2019,7,115701,True,excluded
2019,8,143587,True,excluded
2019,9,108575,True,excluded
2019,10,118743,True,excluded
2019,11,176984,True,excluded
2019,12,241663,True,excluded
2020,1,228434,True,excluded
2020,2,207507,True,excluded
2020,3,71370,True,excluded
2020,4,0,True,excluded
2020,5,0,True,excluded
2020,6,0,True,excluded
2020,7,0,True,excluded
2020,8,0,True,excluded
2020,9,0,True,excluded
2020,10,0,True,excluded
2020,11,0,True,excluded
2020,12,0,True,excluded
2021,1,1682,True,excluded
2021,2,3366,True,excluded
2021,3,4581,True,excluded
2021,4,4168,True,excluded
2021,5,1497,True,excluded
2021,6,1614,True,excluded
2021,7,2429,True,excluded
2021,8,5040,True,excluded
2021,9,13547,True,excluded
2021,10,22771,True,excluded
2021,11,44294,True,excluded
2021,12,89506,True,excluded
2022,1,82327,True,excluded
2022,2,96507,True,excluded
2022,3,106500,True,excluded
2022,4,62980,True,excluded
2022,5,30207,True,excluded
2022,6,32856,True,excluded
2022,7,47293,True,excluded
2022,8,37760,True,excluded
2022,9,29802,True,excluded
2022,10,42026,True,excluded
2022,11,59759,True,excluded
2022,12,91961,True,excluded
2023,1,102545,False,recent
2023,2,107639,False,recent
2023,3,125495,False,recent
2023,4,105498,False,recent
2023,5,83309,False,recent
2023,6,100388,False,recent
2023,7,143039,False,recent
2023,8,136405,False,recent
2023,9,111938,False,recent
2023,10,109199,False,recent
2023,11,151496,False,recent
2023,12,210352,False,recent
2024,1,208253,False,recent
2024,2,218350,False,recent
2024,3,209181,False,recent
2024,4,148867,False,recent
2024,5,112128,False,recent
2024,6,113470,False,recent
2024,7,187810,False,recent
2024,8,164609,False,recent
2024,9,122140,False,recent
2024,10,135907,False,recent
2024,11,184158,False,recent
2024,12,248592,False,recent
2025,1,252761,False,recent
2025,2,240217,False,recent
2025,3,229298,False,recent
2025,4,174608,False,recent
2025,5,132919,False,recent
2025,6,138241,False,recent
2025,7,200244,False,recent
2025,8,198235,False,recent
2025,9,158971,False,recent
2025,10,165193,False,recent
2025,11,212906,False,recent
